make: Entering directory '/root/OpenROAD-flow-scripts/flow'
/root/OpenROAD-flow-scripts/flow/scripts/flow.sh 2_1_floorplan floorplan
Running floorplan.tcl, stage 2_1_floorplan
read_liberty /root/OpenROAD-flow-scripts/flow/platforms/sky130hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib
read_db ./results/sky130hd/chia_sha256_benchmark_corrupted/slot1/1_synth.odb
read_sdc ./results/sky130hd/chia_sha256_benchmark_corrupted/slot1/1_synth.sdc
source /root/OpenROAD-flow-scripts/flow/platforms/sky130hd/setRC.tcl
Master sky130_ef_sc_hd__decap_12 is loaded but not used in the design

==========================================================================
Floorplan check_setup
--------------------------------------------------------------------------
number instances in verilog is 15170
[INFO IFP-0107] Defining die area using utilization: 40.00% and aspect ratio: 1.
[WARNING IFP-0028] Core area lower left (1.000, 1.000) snapped to (1.380, 2.720).
[INFO IFP-0001] Added 236 rows of 1399 site unithd.
[INFO IFP-0100] Die BBox:  (  0.000  0.000 ) ( 646.075 646.075 ) um
[INFO IFP-0101] Core BBox: (  1.380  2.720 ) ( 644.920 644.640 ) um
[INFO IFP-0102] Core area:                       413101.197 um^2
[INFO IFP-0103] Total instances area:            165934.144 um^2
[INFO IFP-0104] Effective utilization:                0.402
[INFO IFP-0105] Number of instances:                  15170
source /root/OpenROAD-flow-scripts/flow/platforms/sky130hd/make_tracks.tcl
source /root/OpenROAD-flow-scripts/flow/platforms/sky130hd/fastroute.tcl
Repair tie lo fanout...
Repair tie hi fanout...
[INFO RSZ-0042] Inserted 1 tie sky130_fd_sc_hd__conb_1 instances.
repair_timing -setup_margin 1.5 -hold_margin 0 -repair_tns 100 -match_cell_footprint -setup -skip_last_gasp -sequence unbuffer,sizeup,swap,vt_swap -verbose
[WARNING EST-0027] no estimated parasitics. Using wire load models.
[INFO RSZ-0100] Repair move sequence: UnbufferMove SizeUpMove SwapPinsMove 
[INFO RSZ-0094] Found 1826 endpoints with setup violations.
[INFO RSZ-0099] Repairing 1826 out of 1826 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |   Area   |    WNS   |   StTNS    |   EnTNS    |  Viol  |  Worst  
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |          |            |            | Endpts | St/EnPt 
------------------------------------------------------------------------------------------------------------------------------
       0* |       0 |       0 |        0 |      0 |     0 |    +0.0% |   -5.333 |    -2621.2 |     -420.3 |   1826 | digest\[255\]$_DFFE_PN0P_/D
      10* |       0 |       9 |        0 |      0 |     0 |    +0.0% |   -5.001 |    -2620.4 |     -382.8 |   1826 | digest\[255\]$_DFFE_PN0P_/D
      20* |       0 |      19 |        0 |      0 |     0 |    +0.0% |   -4.818 |    -2620.2 |     -361.8 |   1826 | digest\[255\]$_DFFE_PN0P_/D
      30* |       0 |      29 |        0 |      0 |     0 |    +0.0% |   -4.653 |    -2620.0 |     -342.5 |   1826 | digest\[255\]$_DFFE_PN0P_/D
      40* |       0 |      39 |        0 |      0 |     0 |    +0.0% |   -4.436 |    -2619.6 |     -316.3 |   1826 | digest\[255\]$_DFFE_PN0P_/D
      50* |       0 |      49 |        0 |      0 |     0 |    +0.0% |   -4.329 |    -2619.5 |     -300.1 |   1826 | digest\[255\]$_DFFE_PN0P_/D
      60* |       0 |      59 |        0 |      0 |     0 |    +0.0% |   -4.047 |    -2540.3 |     -270.7 |   1826 | digest\[255\]$_DFFE_PN0P_/D
      70* |       0 |      69 |        0 |      0 |     0 |    +0.1% |   -3.916 |    -2375.0 |     -260.3 |   1826 | digest\[255\]$_DFFE_PN0P_/D
      80* |       0 |      79 |        0 |      0 |     0 |    +0.1% |   -3.776 |    -2374.8 |     -247.0 |   1826 | digest\[255\]$_DFFE_PN0P_/D
      90* |       0 |      88 |        0 |      0 |     1 |    +0.1% |   -3.689 |    -2374.6 |     -237.5 |   1826 | digest\[255\]$_DFFE_PN0P_/D
     100* |       0 |      96 |        0 |      0 |     3 |    +0.1% |   -3.594 |    -2370.4 |     -227.8 |   1826 | digest\[255\]$_DFFE_PN0P_/D
     110* |       0 |     104 |        0 |      0 |     5 |    +0.1% |   -3.471 |    -2191.0 |     -220.1 |   1826 | digest\[255\]$_DFFE_PN0P_/D
